Key,English,Russian
play,Play,Играть
shop,Shop,Магазин
back,Back,Назад
skins,Skins,Скины
coins,Coins,Монеты
coins2,Coins,Монет
bonuses,Bonuses,Бонусы
select,Select,Выбрать
buy,Buy,Купить
purchase,Purchase,Купить
play,Play,Играть
howplay,How to play,Как играть
tutorial,Tutorial,Обучение
newmode,New mode,Новый режим
endless,Endless,На рекорд
levels,Levels,Уровни
record,Record,Рекорд
distance_record,Distance record,Рекорд
low_coins,Not enough coins,Недостаточно средств
daily_challanges,Daily challanges,Ежедневные задачи
play_endless,Play endless mode game,Сыграйте в режиме на рекорд
finish_level,Finish one level,Окончите один уровень
watch_ads,Watch ads,Посмотрите рекламу
quickly_finish,Finish level in 2 minutes,Пройдите уровень за 2 минуты
everyday_bonus,Everyday bonus,Ежедневный бонус
jump_over,Jump 20 times over the obstacles,Перепрыгните через 20 препятствий
coming_soon,Coming soon,Скоро
multiplayer,Multiplayer,Мультиплеер
place,Place,Место
continue,Continue,Продолжить
create,Create,Создать
start_multiplayer,Start,Начать
room_list,Created games,Созданные игры
leave,Leave,Выход
nickname,Enter nickname...,Введите свой ник
not_enough_money,Not enough money,Недостаточно денег
not_enough_money_other,One of the participants does not have enough money,У одного из участников не хватает денег
restart,Restart,Заново
exit,Exit,Выход
noads,No Ads,Отключить рекламу
purchased,Purchased,Куплено
restore_purchases,Restore Purchases,Восстановить покупки
helmets,Helmets,Шлем
new,New!,Новинка!
day,Day,День
pick,Pick,Забрать
daily_reward,Daily Reward,Ежедневные награды
game_modes,Game Modes,Режимы игры
free_gift,Gift for the game!,Награда за нахождение в игре
tap_to_continue,Tap to continue,Нажмите чтобы продолжить
sec,Sec,сек
starter_skin,Black Skin,Черный Скин
starter_helmet,Helmet,Шлем
starter_jetpack,Jetpack,Джетпак
starter_btn_text1,For You,Для тебя
starter_btn_text2,"x2 Coins, Skin, Jetpack","x2 монет, Скин, Джетпак"
double_jump,Double Jump,Двойной прыжок
double_coins,Double Coins,Множитель монет
shield,Shield,Щит
magnet,Coins magnet,Магнит монет
boost,Boost,Ускорение
megapolis,Megapolis,Мегаполис
